ano_de_construccion,banos,disposicion,dormitorios,estado,garajes,gastos_comunes,m2_de_la_terraza,m2_del_terreno,m2_edificados,price,tipo_propiedad,vivienda_social,zona
2005.0,2.0,al frente,3.0,buen estado,0.0,6000.0,0.0,65.0,65.0,195000.0,apartamentos,0.0,pocitos
1960.0,1.0,al frente,0.0,buen estado,0.0,0.0,0.0,76.0,47.0,130000.0,casas,0.0,sayago
1956.0,3.0,al frente,5.0,excelente estado,2.0,0.0,0.0,861.0,360.0,700000.0,casas,0.0,carrasco
2018.0,1.0,al frente,2.0,a estrenar,0.0,0.0,4.0,69.0,69.0,114000.0,apartamentos,0.0,reducto
1938.0,1.0,al frente,2.0,buen estado,1.0,0.0,0.0,260.0,112.0,100000.0,casas,0.0,sayago
1960.0,2.0,al frente,3.0,buen estado,0.0,0.0,0.0,66.0,111.0,140000.0,casas,0.0,
1994.0,3.0,al frente,3.0,buen estado,1.0,15000.0,0.0,110.0,110.0,330000.0,apartamentos,0.0,pocitos
2007.0,2.0,al frente,3.0,excelente estado,1.0,7100.0,0.0,93.0,93.0,475000.0,apartamentos,0.0,malvin
1959.0,1.0,al frente,2.0,buen estado,0.0,1300.0,0.0,57.0,57.0,108000.0,apartamentos,0.0,cordon
1969.0,2.0,al frente,3.0,reciclada,0.0,0.0,0.0,150.0,140.0,205000.0,casas,0.0,pocitos
1952.0,3.0,al frente,4.0,buen estado,2.0,0.0,0.0,793.0,180.0,480000.0,casas,0.0,carrasco
2005.0,1.0,contrafrente,2.0,excelente estado,1.0,3600.0,8.0,60.0,60.0,154000.0,apartamentos,0.0,la blanqueada
1985.0,2.0,al frente,3.0,excelente estado,0.0,6000.0,0.0,82.0,82.0,160000.0,apartamentos,0.0,parque batlle
1949.0,1.0,al frente,1.0,reciclada,0.0,1000.0,0.0,30.0,30.0,110000.0,apartamentos,0.0,cordon
2018.0,1.0,al frente,1.0,a estrenar,0.0,0.0,3.0,48.0,48.0,98900.0,apartamentos,1.0,prado
1945.0,1.0,contrafrente,1.0,buen estado,0.0,0.0,4.0,45.0,45.0,58000.0,apartamentos,0.0,cerrito
1984.0,3.0,al frente,4.0,excelente estado,3.0,0.0,40.0,600.0,380.0,610000.0,casas,0.0,carrasco norte
1970.0,1.0,al frente,3.0,requiere mantenimiento,1.0,0.0,0.0,500.0,130.0,280000.0,casas,0.0,carrasco
1999.0,1.0,lateral,2.0,buen estado,0.0,2300.0,7.0,49.0,49.0,137000.0,apartamentos,0.0,cordon
1979.0,1.0,al frente,0.0,buen estado,0.0,3000.0,0.0,64.0,42.0,116000.0,apartamentos,0.0,centro
1960.0,1.0,al frente,2.0,a reciclar,0.0,2500.0,8.0,71.0,71.0,120000.0,apartamentos,0.0,centro
2019.0,1.0,al frente,3.0,a estrenar,0.0,1000.0,10.0,64.0,64.0,159000.0,apartamentos,1.0,tres cruces
2020.0,1.0,contrafrente,0.0,en construccion,0.0,0.0,0.0,29.0,29.0,74900.0,apartamentos,0.0,union
2006.0,1.0,contrafrente,3.0,excelente estado,0.0,3000.0,4.0,58.0,58.0,190000.0,apartamentos,1.0,cordon
1985.0,3.0,al frente,3.0,excelente estado,1.0,17000.0,7.0,145.0,145.0,430000.0,apartamentos,0.0,pocitos
2009.0,3.0,al frente,5.0,reciclada,2.0,0.0,120.0,456.0,400.0,595000.0,casas,0.0,pocitos
1980.0,1.0,al frente,2.0,reciclada,1.0,5300.0,1.0,60.0,60.0,180000.0,apartamentos,0.0,palermo
2019.0,2.0,al frente,1.0,buen estado,0.0,3500.0,0.0,56.0,56.0,175000.0,apartamentos,0.0,pocitos
2008.0,2.0,al frente,3.0,excelente estado,1.0,10000.0,20.0,130.0,130.0,295000.0,apartamentos,0.0,carrasco este
1999.0,2.0,al frente,3.0,buen estado,1.0,0.0,0.0,120.0,120.0,210000.0,casas,0.0,brazo oriental
1970.0,1.0,al frente,3.0,reciclada,0.0,0.0,14.0,94.0,114.0,185000.0,casas,0.0,goes
2002.0,2.0,al frente,3.0,excelente estado,1.0,0.0,0.0,735.0,206.0,360000.0,casas,0.0,prado
1970.0,2.0,,3.0,excelente estado,1.0,15000.0,0.0,130.0,130.0,475000.0,apartamentos,0.0,puerto buceo
1987.0,1.0,al frente,4.0,buen estado,0.0,4200.0,3.0,73.0,73.0,110000.0,apartamentos,0.0,union
2014.0,1.0,contrafrente,1.0,,0.0,6100.0,0.0,44.0,44.0,138000.0,apartamentos,0.0,parque batlle
1950.0,1.0,al frente,2.0,buen estado,0.0,0.0,0.0,100.0,80.0,130000.0,casas,0.0,jacinto vera
1998.0,1.0,,3.0,buen estado,1.0,0.0,0.0,511.0,190.0,179000.0,casas,0.0,sayago
2015.0,3.0,al frente,4.0,a estrenar,1.0,12000.0,0.0,189.0,189.0,590000.0,apartamentos,0.0,pocitos
2019.0,2.0,,1.0,en construccion,0.0,1.0,11.0,62.0,62.0,182000.0,apartamentos,0.0,parque miramar
1965.0,3.0,,4.0,reciclada,2.0,0.0,0.0,400.0,237.0,650000.0,casas,0.0,punta carretas
1983.0,2.0,al frente,2.0,buen estado,2.0,0.0,0.0,2.295,140.0,225000.0,casas,0.0,paso de la arena
1968.0,2.0,al frente,4.0,buen estado,2.0,0.0,13.0,557.0,197.0,250000.0,casas,0.0,sayago
2019.0,3.0,al frente,3.0,en construccion,2.0,0.0,0.0,195.0,143.0,340000.0,casas,0.0,carrasco
1989.0,1.0,al frente,3.0,buen estado,1.0,0.0,0.0,90.0,80.0,198000.0,casas,0.0,punta carretas
2018.0,1.0,al frente,1.0,a estrenar,0.0,0.0,4.0,37.0,37.0,85000.0,apartamentos,0.0,reducto
1960.0,1.0,al frente,2.0,buen estado,1.0,0.0,0.0,603.0,133.0,125000.0,casas,0.0,nuevo paris
1963.0,3.0,al frente,3.0,,0.0,11000.0,15.0,167.0,167.0,375000.0,apartamentos,0.0,pocitos
1987.0,3.0,al frente,3.0,buen estado,1.0,9500.0,3.0,92.0,92.0,298000.0,apartamentos,0.0,punta carretas
1937.0,1.0,al frente,3.0,a reciclar,0.0,400.0,0.0,66.0,66.0,100000.0,apartamentos,0.0,cordon
2008.0,1.0,al frente,0.0,excelente estado,0.0,4300.0,0.0,32.0,32.0,85000.0,apartamentos,0.0,palermo
1957.0,1.0,al frente,2.0,buen estado,0.0,2000.0,5.0,69.0,69.0,139000.0,apartamentos,0.0,buceo
1968.0,2.0,al frente,3.0,excelente estado,0.0,3000.0,0.0,110.0,110.0,168000.0,apartamentos,0.0,cordon
1965.0,2.0,al frente,4.0,requiere mantenimiento,0.0,12000.0,23.0,92.0,92.0,150000.0,apartamentos,0.0,centro
1979.0,1.0,al frente,4.0,buen estado,1.0,0.0,0.0,415.0,90.0,260000.0,casas,0.0,la blanqueada
1985.0,1.0,al frente,3.0,buen estado,0.0,4500.0,0.0,77.0,77.0,192000.0,apartamentos,0.0,cordon
1969.0,2.0,al frente,3.0,buen estado,2.0,0.0,0.0,750.0,208.0,320000.0,casas,0.0,carrasco norte
1970.0,3.0,al frente,4.0,reciclada,2.0,25000.0,25.0,230.0,230.0,550000.0,apartamentos,0.0,puerto buceo
2019.0,3.0,al frente,3.0,a estrenar,1.0,0.0,55.0,360.0,216.0,790000.0,casas,0.0,carrasco - barrios con seguridad
1984.0,3.0,al frente,5.0,excelente estado,3.0,0.0,0.0,823.0,485.0,900000.0,casas,0.0,carrasco
1939.0,1.0,al frente,3.0,requiere mantenimiento,1.0,0.0,0.0,382.0,112.0,215000.0,casas,0.0,jacinto vera
2019.0,1.0,al frente,2.0,en construccion,1.0,3500.0,5.0,61.0,61.0,149500.0,apartamentos,1.0,la blanqueada
1985.0,1.0,contrafrente,2.0,excelente estado,0.0,2100.0,0.0,54.0,54.0,125000.0,apartamentos,0.0,aguada
1975.0,3.0,al frente,4.0,buen estado,2.0,0.0,0.0,330.0,180.0,300000.0,casas,0.0,punta gorda
1955.0,2.0,al frente,3.0,buen estado,0.0,7900.0,40.0,98.0,98.0,199000.0,apartamentos,0.0,centro
1968.0,2.0,al frente,3.0,buen estado,1.0,0.0,0.0,243.0,142.0,280000.0,casas,0.0,la blanqueada
2020.0,1.0,lateral,0.0,en construccion,0.0,0.0,0.0,34.0,34.0,130000.0,apartamentos,0.0,punta carretas
2019.0,1.0,al frente,1.0,en construccion,0.0,1.0,23.0,32.0,32.0,133200.0,apartamentos,0.0,pocitos nuevo
1956.0,1.0,al frente,2.0,buen estado,1.0,0.0,0.0,331.0,65.0,75000.0,casas,0.0,conciliacion
1970.0,3.0,al frente,3.0,excelente estado,1.0,6537.0,25.0,70.0,70.0,265000.0,apartamentos,0.0,tres cruces
2018.0,1.0,al frente,2.0,buen estado,0.0,0.0,0.0,72.0,60.0,148000.0,apartamentos,0.0,cordon
2017.0,1.0,al frente,2.0,a estrenar,0.0,7000.0,38.0,62.0,62.0,175000.0,apartamentos,0.0,centro
2017.0,2.0,al frente,2.0,a estrenar,1.0,3000.0,5.0,75.0,75.0,214000.0,apartamentos,0.0,buceo
