banos,dormitorios,garajes,gastos_comunes,m2_del_terreno,m2_edificados,price,vivienda_social,disposición_frente,estado_rec_exc,zona_cat_1,zona_cat_2,zona_cat_3
2.0,3.0,1.0,10000.0,130.0,130.0,295000.0,0.0,1,1,0,0,1
2.0,3.0,1.0,0.0,120.0,120.0,210000.0,0.0,1,0,0,1,0
1.0,3.0,0.0,0.0,94.0,114.0,185000.0,0.0,1,1,0,1,0
2.0,3.0,1.0,0.0,735.0,206.0,360000.0,0.0,1,1,0,1,0
2.0,3.0,1.0,15000.0,130.0,130.0,475000.0,0.0,0,1,0,0,1
1.0,4.0,0.0,4200.0,73.0,73.0,110000.0,0.0,1,0,0,1,0
1.0,2.0,0.0,0.0,100.0,80.0,130000.0,0.0,1,0,0,1,0
1.0,3.0,1.0,0.0,511.0,190.0,179000.0,0.0,0,0,0,1,0
3.0,4.0,1.0,12000.0,189.0,189.0,590000.0,0.0,1,0,0,0,1
2.0,1.0,0.0,1.0,62.0,62.0,182000.0,0.0,0,0,0,0,1
3.0,4.0,2.0,0.0,400.0,237.0,650000.0,0.0,0,1,0,0,1
2.0,2.0,2.0,0.0,2.295,140.0,225000.0,0.0,1,0,0,1,0
2.0,4.0,2.0,0.0,557.0,197.0,250000.0,0.0,1,0,0,1,0
3.0,3.0,2.0,0.0,195.0,143.0,340000.0,0.0,1,0,0,0,1
1.0,3.0,1.0,0.0,90.0,80.0,198000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,0.0,37.0,37.0,85000.0,0.0,1,0,0,1,0
1.0,2.0,1.0,0.0,603.0,133.0,125000.0,0.0,1,0,1,0,0
3.0,3.0,1.0,9500.0,92.0,92.0,298000.0,0.0,1,0,0,0,1
1.0,3.0,0.0,400.0,66.0,66.0,100000.0,0.0,1,0,0,1,0
1.0,0.0,0.0,4300.0,32.0,32.0,85000.0,0.0,1,1,0,1,0
1.0,2.0,0.0,2000.0,69.0,69.0,139000.0,0.0,1,0,0,0,1
2.0,3.0,0.0,3000.0,110.0,110.0,168000.0,0.0,1,1,0,1,0
2.0,4.0,0.0,12000.0,92.0,92.0,150000.0,0.0,1,0,0,1,0
1.0,4.0,1.0,0.0,415.0,90.0,260000.0,0.0,1,0,0,1,0
1.0,3.0,0.0,4500.0,77.0,77.0,192000.0,0.0,1,0,0,1,0
2.0,3.0,2.0,0.0,750.0,208.0,320000.0,0.0,1,0,0,0,1
3.0,4.0,2.0,25000.0,230.0,230.0,550000.0,0.0,1,1,0,0,1
3.0,3.0,1.0,0.0,360.0,216.0,790000.0,0.0,1,0,0,0,1
1.0,3.0,1.0,0.0,382.0,112.0,215000.0,0.0,1,0,0,1,0
1.0,2.0,1.0,3500.0,61.0,61.0,149500.0,1.0,1,0,0,1,0
1.0,2.0,0.0,2100.0,54.0,54.0,125000.0,0.0,0,1,0,1,0
3.0,4.0,2.0,0.0,330.0,180.0,300000.0,0.0,1,0,0,0,1
2.0,3.0,0.0,7900.0,98.0,98.0,199000.0,0.0,1,0,0,1,0
2.0,3.0,1.0,0.0,243.0,142.0,280000.0,0.0,1,0,0,1,0
1.0,0.0,0.0,0.0,34.0,34.0,130000.0,0.0,0,0,0,0,1
1.0,1.0,0.0,1.0,32.0,32.0,133200.0,0.0,1,0,0,0,1
1.0,2.0,1.0,0.0,331.0,65.0,75000.0,0.0,1,0,1,0,0
3.0,3.0,1.0,6537.0,70.0,70.0,265000.0,0.0,1,1,0,1,0
1.0,2.0,0.0,0.0,72.0,60.0,148000.0,0.0,1,0,0,1,0
1.0,2.0,0.0,7000.0,62.0,62.0,175000.0,0.0,1,0,0,1,0
2.0,2.0,1.0,3000.0,75.0,75.0,214000.0,0.0,1,0,0,0,1
2.0,2.0,1.0,9000.0,92.0,92.0,280000.0,0.0,1,0,0,0,1
1.0,1.0,0.0,0.0,47.0,43.0,192000.0,0.0,1,0,0,0,1
1.0,1.0,1.0,1.0,44.0,44.0,135000.0,1.0,0,0,0,1,0
2.0,2.0,2.0,1.0,153.0,153.0,505000.0,0.0,0,0,0,0,1
3.0,3.0,2.0,11000.0,124.0,124.0,340000.0,0.0,1,1,0,0,1
3.0,5.0,2.0,0.0,210.0,360.0,390000.0,0.0,1,0,0,1,0
1.0,1.0,1.0,3500.0,45.0,45.0,125000.0,0.0,0,1,0,1,0
1.0,1.0,0.0,3000.0,45.0,45.0,125000.0,0.0,1,0,0,1,0
1.0,2.0,1.0,800.0,57.0,57.0,129000.0,1.0,0,0,0,1,0
1.0,2.0,0.0,1800.0,55.0,55.0,92000.0,0.0,1,0,0,1,0
1.0,2.0,0.0,0.0,98.0,98.0,159000.0,0.0,1,0,0,1,0
1.0,2.0,0.0,4500.0,49.0,49.0,129000.0,0.0,1,1,0,1,0
1.0,2.0,0.0,3800.0,105.0,105.0,179000.0,0.0,1,1,0,1,0
2.0,2.0,0.0,0.0,15.0,64.0,182000.0,0.0,1,0,0,0,1
1.0,2.0,1.0,3500.0,65.0,65.0,187000.0,0.0,1,0,0,1,0
2.0,5.0,2.0,0.0,200.0,210.0,220000.0,0.0,1,0,0,0,1
1.0,0.0,0.0,0.0,37.0,28.0,100000.0,0.0,1,1,0,1,0
1.0,2.0,0.0,8500.0,68.0,68.0,225000.0,0.0,1,0,0,0,1
1.0,2.0,0.0,1.0,76.0,76.0,152440.0,1.0,1,0,0,1,0
1.0,1.0,1.0,4500.0,43.0,43.0,174000.0,0.0,1,1,0,0,1
